Nro_Carrera,Numero,Nombre_Carrera,Distancia_Pista,Caballo_Padre,Kilos,Jinete,Preparador,Indice,Ultimas_Llegadas,Fecha_Ult,Dist_Serie_Ult,Cps_Tpo_Ult,Div_Ult,Peso_Fis,Stud_Colores,Observaciones
2,5,INCONDICIONAL (4947),"1200m Pasto",EL ATREVIDO (Spun To Run),57,B. Troncoso,O. Silva S.,Condi,12cA 5cP 3cP,17/11,1.200 Condi,3 1/2 1:09.75,33.4,444,Garage Jcs Negro Cruz De Malta Rojo M. Y Gr. Bla,Cargado y cortada linea al partir [cite: 18, 21]
2,6,INCONDICONAL (4947),"1200m Pasto",A TODO VAPOR (Classic Empire),57,J. Toro,A. Fernandez L.,Condi,3 5cP 2cP 2P,17/11,1.200 Condi,Chza.,6.1,491,Cholito Azul M. Blanco Y Rojo En Ruedas Gr. Roja,
2,7,INCONDICIONAL (4947),"1200m Pasto",DON CACHAFAZ (Good Samaritan),57,V. Miranda,D. Silva S.,Condi,8 9cP 12cA 11cP,17/10,1.000 Condi,8 cpos. 0:57.33,61.8,465,Etiqueta Negra Negro Fj. Blanco-Negro-Rojo Gr. E,Salto hacia afuera al partir [cite: 24]
2,8,INCONDICIONAL (4947),"1200m Pasto",CATAPOS (Ivan Denisovich),57,A. Villagra,A. Parra D.,Condi,11cA 9cA 6cP,12/12,1.000 Condi,5 3/4 c 0:58.92,72.7,428,Marita Verde Fr. Y Bra. Y Gr. Naranj,Cargado y estrellado [cite: 18]
2,9,INCONDICIONAL (4947),"1200m Pasto",EL ORADOR (Spun To Run),57,B. Sancho,Cl. Bernal G.,Condi,7h 4h 3h,11/12,1.200 Condi,5 1/4 c 1.11.40,4,496,Curepto Blanco Y Rojo Por Mitad Vertical M. Listi,
2,10,INCONDICIONAL (4947),"1200m Pasto",NYQUISTER (Nyquist),57,J. Medina,P. Baeza A.,Condi,4cA 2cA,05/12,1.300 Condi,1 3/4 cj 1:18.31,1.3,470,Luigi Verde Tirantes Azul M. Verde Gr. Verd,
2,11,INCONDICIONAL (4947),"1200m Pasto",PORTODOS (Porto Fino),57,P. Galaz,H. Adonis B.,Condi,11cP 8h 10h,11/12,1.200 Condi,17 1/2 1.10.47,93.6,438,A.M. Amarillo Circulo Hombreras Bra. Y Gr. Rojo,
3,1,INFALTABLE (4948),"1900m Arena",TATAN FOREVER (Forever Thing),58,P. Robles,J. Pinochet P.,20,4h 3cA 2c,28/11,1.900 26-12,5 3/4 c 1:58.82,4.1,515,Quimera Naranjo Hombreras Negro M. Naranjo Y,
3,2,INFALTABLE (4948),"1900m Arena",SIN PREJUICIOS (Good Samaritan),53,F. Henriquez,R. Montesino S.,15,13A 8cA 5cA,15/12,1.400 19-13,14 1/4 1:25.22,13.2,444,Los Cabezas Alvarez Rosado Estrella Verde M. Y E,
3,3,INFALTABLE (4948),"1900m Arena",VINDALOO (Dangerous Midge),55,J. Medina,P. Baeza A.,17,2cA 5cA 6cA,31/10,1.900 20-10,7 1/2 2:00.69,2.8,477,Haras Las Camelias Beige Y Verde En Ruedas Gr.,
3,4,INFALTABLE (4948),"1900m Arena",LUCA PAGURO (Robert Bruce),55,R. Cisternas,Jn. Cavieres A.,17,1cP 3P 3P,28/11,2.000 Clás,2 1/2 2:00.70,2.5,495,El Cedro Rojo Ban. Blanco M. Y Gr. Verde,
3,5,INFALTABLE (4948),"1900m Arena",IMANOL (Good Samaritan),56,B. Troncoso,Js. Araya B.,18,13cA 2A 7A,15/12,1.400 19-13,7 cpos. 1:25.22,16.9,457,El Mero Mero Raja Ban. Blanco M. En Ruedas Gr,
3,6,INFALTABLE (4948),"1900m Arena",CI MANCHI FRATELO (International),58,N. Ramirez,Js. Araya B.,20,7A 9A 5A,21/11,1.200 28-21,25 3/4 1:11.21,43.1,462,Rey Santino Diez Blanco Y Verde Por Mitad Vertic,Preparador disconforme con la carrera [cite: 30]
3,7,INFALTABLE (4948),"1900m Arena",RED DIAMOND (Diamond Tycoon),57,B. Sancho,A. Bernal G.,19,3cP 5cP 3cP,12/12,1.300 28-20,7 cpos. 1:15.15,3.8,504,Sol De Noruega Azul Cruz Binaco Y Rojo M. Azul F,
4,1,MANCOMUNIDAD DE AUSTRALIA (4949),"1900m Arena",BABY SHAK (Kingly),57,R. Fuenzalida,J. C. Pichara J.,3,th 5h 2h,13/12,1.400 27-15,4 1/4 1.23.49,17.6,490,Vasquez Retamales Naranjo Tirantes Y Bra. Verde,
4,2,MANCOMUNIDAD DE AUSTRALIA (4949),"1900m Arena",QUE GUSTO DE VERTE (Good Samaritan),57,B. Troncoso,Js. Araya B.,3,3cA 5cA 8h,14/11,1.600 Clás,4 1/2 c 1:37.97,17.7,499,Choapa Naranjo Bra. Y Gr. Negr,
4,3,MANCOMUNIDAD DE AUSTRALIA (4949),"1900m Arena",GOOD DEAL (Good Samaritan),57,J. Herrera,M. Rabajille D.,3,1cA IcA IcA,14/11,1.600 Clás,1 1/4 c 1:37.97,2.4,474,Paula Ines Rosado M. Azul Y Rosado Listadas Gr.,
4,4,MANCOMUNIDAD DE AUSTRALIA (4949),"1900m Arena",EL GRIEGO (Katmai),57,O. Ulloa,P. Baeza A.,3,7cP 2cA 2A,05/12,1.700 Clás,7 1/4 1:41.76,6.3,549,Doña Sofia Blanco M. GrY . Con Lun. Negra,
4,5,MANCOMUNIDAD DE AUSTRALIA (4949),"1900m Arena",DIAMOND BLUE (Mendelssohn),57,Gvo. Aros,A. Padovani E.,3,3cP 8P 2cP,05/12,1.700 Clás,2 cpos 1:41.76,8.5,524,Elephant Negro Cruz Rojo M. Verde Gr. Negr,
4,6,MANCOMUNIDAD DE AUSTRALIA (4949),"1900m Arena",ALMAGESTO (Classic Empire),57,Jr. A. Gonzalez,G. Aguirre A.,3,3h Th 2,22/11,1.500 Clás,7 1/4c 1.28.46,6.3,491,Carvatero Verde Tirantes Azul En Rombos M. Azul,
5,1,IMASTAR (4950),"1000m Pasto",JEFA DE JEFAS (Get Jets),55,Js. Solano,R. Toledo M.,Condi,8cA 6cP 6A,15/12,1.200 Condi,20 1/4 1:10.07,54.9,482,Bureo-Azul Y Dorado A Cuadritos Gr. En Casc,
5,2,IMASTAR (4950),"1000m Pasto",NAHUEN (Gran Carboncillo),55,G. Rodriguez,R. Montesino S.,Condi,3cA 10cP 3A,15/12,1.000 Condi,5 3/4 c 0:59.55,13,467,Hermanos Diaz Azul V Y Anillos Blanc,Estrellado al partir [cite: 42]
5,3,IMASTAR (4950),"1000m Pasto",MI NIETA AGUSTINA (Flameaway),55,B. Sancho,Jn. Rodriguez R.,Condi,12cP 4cP 10cP,07/12,1.000 Condi,3 1/4 0:58.29,66.5,436,Vigalu Azul Estrella Amarillo M. En Ruedas Gr.,
5,4,IMASTAR (4950),"1000m Pasto",ME DAS OTRO BESO (Patternrecog),55,B. Troncoso,P. Molina L.,Condi,7cP 7h 2cP,15/12,1.200 Condi,3/4 cpo 1:10.07,8.8,424,Matias Hector Amarillo Cruzado Negro Rojo Gr. Na,
5,5,IMASTAR (4950),"1000m Pasto",KOBRICH (Dubai Sky),55,J. Herrera,M. Rabajille D.,Condi,5cP 2P 2P,05/12,1.000 Condi,1 1/2 c 0:57.85,1.5,422,Matriarca Azul Y Verde Horizontal Gr. Blanc,
5,6,IMASTAR (4950),"1000m Pasto",RUBIA CLARA (Ivan Denisovich),56,R. Fournet,F. Gonzalez S.,Condi,6cA 7cP 4cP,15/12,1.200 Condi,2 cpos 1:10.07,34.5,445,La Vida Es Bella Celeste M. Celeste Y Verde En Ru,
5,7,IMASTAR (4950),"1000m Pasto",KERRYS (Kingly),55,F. Medina,P. Baeza A.,Condi,5cP 9cP 2cP,07/12,1.000 Condi,1/2 cpa 0:58.29,8.1,474,Haras Mocito Guapo Azul Chevrones Bra. Y Gr. C,
5,8,IMASTAR (4950),"1000m Pasto",YA AGUS (Ya Primo),56,N. Rojas,S. Morales G.,Condi,5cP 6A 6cP,07/12,1.000 Condi,5 cpos. 0:58.29,26.3,377,Tetito Ignacio Azul Cruz Blanco M. Blanco Bra. Az,
5,9,IMASTAR (4950),"1000m Pasto",LIORA (Dangerous Midge),55,D. Carrasco,Jn. Rodriguez R.,Condi,12cA 10CP 14cA,01/12,1.000 Condi,19 1/4 0:59.96,131.4,465,Fritzi Blanco Fj. Azul Bra. Y Gr. Roj,Mañoso en las primeras distancias [cite: 42]
5,10,IMASTAR (4950),"1000m Pasto",SERKET (Bilzerian),55,F. Henriquez,M. Apablaza G.,Condi,3h 6h 4cP,13/12,1.000 Condi,7 3/4 c 0.58.05,9.2,451,Raices De Codegua Burdeo Estrella Blanco M. Bu,
5,11,IMASTAR (4950),"1000m Pasto",TRANQUILA NIÑA (Mendelssohn),55,A. Apablaza,R. Toledo M.,Condi,4cP 8cP 5cP,15/12,1.200 Condi,8 3/4 c 1:10.07,33.8,434,Rufo Amarillo Trebol Verde M. Y Gr. Amarillo Y Ve,
5,12,IMASTAR (4950),"1000m Pasto",PASCUERA (Ivan Denisovich),55,M. A. Donoso,D. E. Silva G.,Condi,8cP 7cP 9P,15/12,1.200 Condi,14 3/4 1:10.07,78.2,420,Oscarito Rojo Fj. Anillos Y Gr. Blanco,Se fue de punta al partir [cite: 43]
5,13,IMASTAR (4950),"1000m Pasto",POLLY GRAY (Ticket To Run),55,Js. Cueto,L. Machulas G.,Condi,10h 12h 9h,13/12,1.000 Condi,18 1/4 0.58.56,118.1,444,El Mero Mera Rejo Ban. Blanco M. En Ruedas Gr,
6,1,INTIMATE PLUS (4951),"1100m Pasto",GALWAY GIRL (Seeking The Dia),58,P. Reyes,R. Sanchez Q.,27,9cP 8P 6P,15/12,1.000 36-28,4 1/2 0:57.31,16.6,464,Sanchez Q. Rodrigo Azul Y Celeste En Rombos M.,
6,2,INTIMATE PLUS (4951),"1100m Pasto",LOU ARMSTRONG (Robert Bruce),51,W. Leon,O. Martinez L.,19,12h 9cP 9P,12/12,1.200 Clás,8 3/4 1:09.63,9.7,438,Filipino Celeste M. Amarillo Gr. Azu,Recibió un champazo en los últimos 200m [cite: 85]
6,3,INTIMATE PLUS (4951),"1100m Pasto",BREGO (Bad Daddy),53,B. Soto,Js. Araya B.,21,10cP 3P 3P,15/12,1.000 23-17,3/4 сро 0:57.61,7.6,468,Shot Menzel Gris Cruz De Santiago Amarillo M. Az,
6,4,INTIMATE PLUS (4951),"1100m Pasto",SONRISA DULCE (Seeking The Dia),55,P. Robles,J. Pinochet P.,23,7cA 8cA 4cP,15/12,1.000 23-17,3/4 сро 0:57.61,7.5,464,Nono Amarillo Tirantes Y Anillos Negro Gr. En Ru,Cargado en los primeros 150m [cite: 85]
6,5,INTIMATE PLUS (4951),"1100m Pasto",LIMATOWN (Mo Town),55,B. Leon,A. Parra D.,23,8cP 4cP 2P,15/12,1.000 23-17,1/2 сро 0:57.61,4.9,446,Los Maquitos Blanco Estrella Amarillo M. Y Gr.,
6,6,INTIMATE PLUS (4951),"1100m Pasto",SEE ME (Cloud Computing),61,J. Herrera,H. E. Ulloa P.,33,3cP 5cP 1cP,15/12,1.000 36-28,pczo. 0:57.31,3.4,515,Millar M Patricio Negro Bra. Y Gr. Turquesa,
6,7,INTIMATE PLUS (4951),"1100m Pasto",SINESIO (Gemologist),57,R. S. Dores,F. Gonzalez S.,25,12cP 10cP 7cP,07/12,1.000 26-15,4 1/2 0:57.35,47.1,496,Milna Amarillo Y Rojo Por Mitad Vertical M. Alter,
6,8,INTIMATE PLUS (4951),"1100m Pasto",STRAY KIDS (Tourist),60,Jon. A. Castillo,A. Parra D.,30,2cP 7cP 3cP,15/12,1.000 36-28,pczo. 0:57.31,9.3,467,Aldedo Blanco Y Solferino En Ruedas,Se fue de punta al partir [cite: 86]
6,9,INTIMATE PLUS (4951),"1100m Pasto",SIETE DE ABRIL (Constitution),55,I. Valdivia,R. Sanchez Q.,23,1cP 6P 4P,12/12,1.300 28-20,7 cpos. 1:15.15,17.8,437,Super Super Amarillo Y Rojo A Cuadritos M. Y Gr.,
7,1,IMPETOUS (4952),"1000m Arena",MONTES FRAILE (Palm Springs),58,A. Villagra-4,Js. Allende F.,3,10cA 2A,15/11,1.200 Clás,3 1/2 c 1.10.67,16.1,505,La Monito Blanco Ban. Rojo Gr. Amarill,
7,2,IMPETOUS (4952),"1000m Arena",VITRUVIUS (Robert Bruce),54,Seb. Gonzalez,Jr. A. Inda De La C.,3,TcA icA 6h,17/11,1.000 Condi,1 1/4 c 0:59.25,2.3,502,Odisea Amarillo Y Negro Mitada Diagonal M. Ama,
7,3,IMPETOUS (4952),"1000m Arena",VAMOS A BAILAR (Patternrecogr),54,G. Rodriguez,M. Velarde B.,3,3cA 1cA,05/12,1.000 Condi,1/2 cpo 0:58.89,7.8,520,Alonmate Rojo Rombos En Lista Gris-Bco. Mngs 6,
7,4,IMPETOUS (4952),"1000m Arena",TEJEDOR DE SUEÑOS (Star Dabb),54,P. Robles,J. Pinochet P.,3,1cA,01/12,1.000 Condi,1/2 cpo 0:58.58,28.9,502,Millar M Patricio Negro Bra. Y Gr. Turquesa,
7,5,IMPETOUS (4952),"1000m Arena",NO SE NA (The Lumber Guy),54,J. Herrera,Js. Alvarez D.,3,2cA 5A 1cA,05/12,1.000 Condi,1 cpo. 0:59.51,4,447,Haras Lizzie Amarillo Y Bco En Ruedas. Mngs Ama,
7,6,IMPETOUS (4952),"1000m Arena",CANELO DORADO (Flameaway),54,M. Gutierrez,C. Gonzalez M.,3,7cP 2A 1cP,12/12,1.000 Condi,2 1/2 0:58.69,3.5,454,Charito Naranjo Fr. Y Puños Dorado Gr.,
7,7,IMPETOUS (4952),"1000m Arena",NEED TO FLY (Flyer),58,J. Medina,P. Baeza A.,3,6cP ICA 7cP,12/12,1.200 Clás,4 3/4 c 1:09.63,14.5,443,Maitenal Rojo M. Azul Gr. Negro,Dobló la cabeza al partir [cite: 127]
7,8,IMPETOUS (4952),"1000m Arena",EL REY JULIAN (Khezan),58,F. Medina-4,R. A. Quiroz S.,3,7h,12/12,1.200 Clás,7 cpos. 1:09.63,62.6,410,Artigas Turquesa Fj. Bra. Y Gr. Negr,
7,9,IMPETOUS (4952),"1000m Arena",QUE BONITO QUE SOY (Mendelss),54,R. Fuenzalida,S. Morales G.,3,10h 8cP,12/12,1.000 14-11,4 1/4 0:58.63,53.6,439,Tetito Ignacio Azul Cruz Blanco M. Blanco Bra.,
7,10,IMPETOUS (4952),"1000m Arena",WUALALA (Zawraq),58,R. Fournet-4,Js. Araya B.,3,11cA 8A 4cA,20/11,1.000 Condi,2 1/4 0.56.25,2.2,442,De Arauco Verde Y Negro En Ruedas M. Blanco Y,
8,1,INQUILING (4953),"1000m Arena",EL COMEDIANTE (Cunce),57,R. Foumet-4,E. Carreño R.,3,3h 4h 1h,12/12,1.000 Condi,Lejos 0:58.69,115.7,437,Flechas Doradas Dorado Bra. Azul Blanco Raja Gr.,
8,2,INQUILING (4953),"1000m Arena",PARTNER QUERIDO (Get Jets),57,G. Rodriguez,Cl. Bermal G.,3,7cA 3A,15/12,1.000 Condi,9 3/4 0:59.83,4.6,496,Velarde B Manuel A Blanco Herraduras Y Gr. Rojo,Se abrió violentamente en la curva [cite: 198]
8,3,INQUILING (4953),"1000m Arena",MI GIGANTE (Get Jets),57,R. Fuenzalida,Js. Allende F.,3,11cP,05/12,1.000 Condi,3 cpos. 0:59.51,6.7,407,Los Parditos Rojo Y Rosado Listado M. Rojo Gr. A,Se abrió en la curva y tierra derecha [cite: 197]
8,4,INQUILING (4953),"1000m Arena",MANO DE PIEDRA (International),57,R. Painen,J. Pinochet P.,3,6cP 7cP 4P,05/12,1.000 Condi,16 1/4 0:59.51,9.4,469,Don Santiago Gris M. Calipso Gr. Calips,
8,5,INQUILING (4953),"1000m Arena",LIAM (Flameaway),57,B. Leon,Js. Alvarez D.,3,10P 10A 11P,17/11,1.000 Condi,14 3/4 0:59.25,10.8,385,Chatomore Azul Cruz Lista Y Gr. Amarillo.,
8,6,INQUILING (4953),"1000m Arena",ALPAQUITAY (Kingly),57,N. Rojas-4,Jn. Rodriguez R.,3,7h,07/11,1.000 Condi,18 1/4 0:59.55,115.7,451,El Maro Mera Rojo Ban. Blanco M. En Ruedas Gr,
8,7,INQUILING (4953),"1000m Arena",EL SALVADOR (International Star),57,P. Reyes,P. Baeza A.,3,12cP,12/12,1.000 Condi,5 1/2 c 0:58.69,13.9,439,Shot Menzel-Gris Cruz De Santiago Amarillo M. A,
8,8,INQUILING (4953),"1000m Arena",COCHEPE (Good Samaritan),57,N. Ramirez,M. Velarde B.,3,4cA 4cA 9cA,12/12,1.000 Condi,8 cpos. 0:58.69,93.4,445,Monin Azul M. Amarillo Fr. Y Gr. Roja,
8,9,INQUILING (4953),"1000m Arena",LUIS FERNANDO (Ya Primo),57,R. Covarrubias,S. Alvarado P.,3,6cA 14cP 5cA,20/06,1.000 Condi,2 cpos 0:59.31,5.9,435,Athenea Blanco Pechera Negro M. Y Gr. Negr,Se abrió en el curso de la carrera [cite: 196]
8,10,INQUILING (4953),"1000m Arena",QUE ILUSO (Ivan Denisovich),57,Js. Cunto-1,F. Gonzalez S.,3,12cP 11h,06/11,1.500 Condi,23 1/4 1.28.60,28,496,Velarde B Manuel A Blanco Herraduras Y Gr. Rojo,,Cargado primeras distancias [cite: 199]
9,1,INDOMITO (4954),"1200m Arena",SALTO DEL GUAPO (Grand Daddy),57,Jr. A. Gonzalez,S. Morales G.,29,9cA 2A 4cA,12/12,1.000 38-30,1 3/4 0:58.23,7.2,473,Por Ti Negrita-Verde Cruzade Blanco M. Blanco B,
9,2,INDOMITO (4954),"1200m Arena",STORM TIGER (Exaggerator),55,R. S. Dores,A. Fernandez L.,27,1cA 8A 9A,17/11,1.400 30-22,17 cpo: 1:24.27,3.3,484,Cholito Azul M. Blanco Y Rojo En Ruedas Gr. Rojo,Salto hacia adentro al partir [cite: 202]
9,3,INDOMITO (4954),"1200m Arena",MALANDRO (Mendelssohn),55,B. Trancoso,A. Padovani E.,27,7cP 5cP 3h,13/12,1.400 37-24,5 1/4 c 1.22.03,14.4,441,Games Oly Blanco Estrellas Verde Gr. Verde Estri,
9,4,INDOMITO (4954),"1200m Arena",INDIAN POET (Constitution),55,J. Medina,R. Montesino S.,27,8cA 6CA 2A,12/12,1.000 27-24,1 1/4 c 0:59.56,2.7,519,Brano Alonso Negro Estrella Naranjo M. Naranjo E,
9,5,INDOMITO (4954),"1200m Arena",DESENFRENADO (Practical Joke),55,L. C. Gonzalez,F. Gonzalez S.,27,15h 4cA 9cP,15/12,1.000 36-28,11 1/4 0:57.31,14.7,511,Por Ti Negrita Verde Cruzado Blanco M. Blanco B,
9,6,INDOMITO (4954),"1200m Arena",PECADO INCONFESABLE (ARG),157,J. A. Miño,C. Garcia V.,29,6cA 7cA 14h,29/11,1.200 30-22,11 1/2 1.09.65,36.8,425,Mv Jr. Azul V Naranju M. Azul Y Naranjo En R,
9,7,INDOMITO (4954),"1200m Arena",SCALPING (Good Samaritan),56,B. Sancho,CL. Bermal 6.,28,7A 7cA 1A,12/12,1.000 27-24,1 1/4 0:59.56,9.6,444,El Veintitres Blanco Y Negro En Ruedas Mngs Blar,
9,8,INDOMITO (4954),"1200m Arena",PELAMBRE (Practical Joke),57,A. Alvarez,R. Sanchez 0.,29,4A ICA 12A,17/10,1.000 34-30,8 1/4 0:58.91,3.1,524,Bruno Alonso-Negro Estrella Naranjo M. Naranjo E,
9,9,INDOMITO (4954),"1200m Arena",DIVINA FE (Seeking The Dia),55,P. Robles,J. Pinochet P.,27,2cA 5cP 5A,07/12,1.200 28-20,8 1/2 1:09.58,3.6,447,Ojotaeme Azul Fr. Y M. Amarillo Gr. En Cascos,
9,10,INDOMITO (4954),"1200m Arena",FREUD WISH (Mr Speaker),53,J. Herrera,C. Garcia V.,25,5cA 2A 7A,15/12,1.400 26-22,14 cpo: 1:24.41,3.7,496,Juanito Elsita Oro Y Plata En Ruedas,
10,1,CLARO TV (4955),"1400m Arena",FAGIOLO (Heotenanny),55,V. Miranda,A. Padovani E.,,3h IcA 1cA,01/12,1.400 44-35,2 сpos 1:23.85,2.3,499,Olimpic Blue Turquesa M. Blanca Y Ngro En Rueda,
10,2,CLARO TV (4955),"1400m Arena",PAPUDO CHROME (California Chr),51,Jr. Zuñiga,0. Silva S.,,IcA 3cP 3A,01/12,1.400 33-24,3 cpos. 1:24.96,4.1,464,Garage Jcs Negro Cruz De Malta Rojo M. Y Gr. Bl,
10,3,CLARO TV (4955),"1400m Arena",LUDANA (Mucho Macho Mar),51,1. Valdivia,M. Rabajille D.,,4cA,16/05,1.400 Clás,10 1/4 1:24.45,6.8,466,Matriarca Azul Y Verde Horizontal Gr. Blanc,
10,4,CLARO TV (4955),"1400m Arena",MONACO (ARG) (Catcher In The),152,N. Molina,Jn. Rodriguez R.,,2A 2A 8A,07/12,1.200 44-34,3/4 сро 1:09.55,6.1,497,Don Chato Rojo Negro Y Blanco Listado M. Negro,
10,5,CLARO TV (4955),"1400m Arena",EL MERLUZO (Hootenanny),54,B. Trancoso,A. Padovani E.,,3A 1cA ICA,15/12,1.400 43-31,2 cpos 1:24.89,4.1,491,Carmes Gly Blanco Estrellas VerdeGr. Verde Estre,
10,6,CLARO TV (4955),"1400m Arena",EL UNGIDO (Robert Bruce),58,L Torres,Js. Araya B.,,4cA 2cA,21/11,1.400 Clás,4 cpos. 1:24.21,2.6,,Legacy Blanco Y Negro En Rombos M. Blanco Bra,
10,7,CLARO TV (4955),"1400m Arena",PRIMER VALS (Midshipman),55,J. Herrera,J. Orellana R.,,5h 8h 5A,21/11,1.400 Clás,9 1/4 c 1:24.21,2,487,Doña Eliana Cafe Des Rombos Y Dos Bra. Negro I,
10,8,CLARO TV (4955),"1400m Arena",LONWHITE (Mendelssohn),57,R. Cisternas,C. Gonzalez M.,,2A 2cA 2h,13/12,1.400 Clás,1/2 cpo 1.21.12,1.8,480,Charito Naranjo Fr. Y Puños Dorado Gr. A Cuadro,
10,9,CLARO TV (4955),"1400m Arena",DON MATIAS (Hinz),52,A. Alvarez,A. Padovani E.,,2h 4cP 8h,13/12,1.400 Clás,26 1/2 1.21.12,48.8,425,Viña Del Mar Amarillo Y Verde A Cuadros M. Verd,
11,1,INFANTA ISABEL (4956),"1100m Pasto",CHAMPELICE (Katmai),58,Seb. Gonzalez,0. Silva S.,8,2cP 7cP 4cP,05/12,1.200 11-5,3 cpos. 1:09.60,6.5,444,Los Caleranos Rojo Estrellas Y Bra. Blanco Gr. En,
